artist_id,artist_name
artist_id,artist_name
2124,陈楚生
2118,成龙
1084178,Candy_Wind
2150,陈冠蒲
1044054,R7CKY
963409,陈学冬
12132471,陈信喆
2159,曹轩宾
189379,陈鹏杰
1038074,茶茶
2122,陈冠希
2294,陈光荣
28083351,CORSAK
31055,Cee
2111,崔健
14100493,崔伟立
2130,蔡国权
963431,陈致逸
2153,常石磊
12879051,陈红鲤
2125,陈晓东
2338,船长
1043290,传琦SAMA
14470079,CG
6557,曾一鸣
2147,陈旭
2113,车继铃
12474254,陈飞宇
2135,陈勋奇
13228454,蔡威泽
964450,陈奕夫
2141,陈雷
2134,陈坤
2131,川子
12023426,CARTA
2164,陈伟霆
12010027,陈柏霖
6608,曾志伟
28103230,蔡维泽
2202,陈其钢
6862,曾志豪
168021,陈俊彤
1041027,Chace
12312092,曹方瑞
224360,陈亮
28085360,林童学
900139,曾经艺也
2209,陈少华
2138,陈浩民
2414,曹越
2276,崔京浩
1046063,蔡方萌
1132979,蔡照
1043304,曹思义
941023,曹槽
826307,陈晓
2448,曹秦
2428,陈劭康KOMIC
2119,蔡国庆
2336,程池
854358,陈令韬
168042,曹寅
29150296,岑先生
1014024,茶季杨
2375,蔡志展
1149014,厨房仔
1152025,陈知&游园惊梦
958173,才让东珠
991003,崔跃文
727005,陈赫
2133,陈奂仁
2174,陈底里
2278,陈百潭
12488046,陈玮镔
2348,陈零九
2230,陈雅森
14713124,陈彦希REGI
12617485,崔忠华
2224,春雷
6521,曾航生
1049254,崔鹏
13080644,陈泽鑫
12059017,雷智皓
12333145,DP龙猪
12054456,董又霖
2516,迪克牛仔
2524,大张伟
12250324,DJ马哥
791534,戴荃
12291332,dj
1143033,队长
1135138,浩宝
12440042,邓伦
671001,东南
1203015,Dough-Boy
2699,东篱
2514,蛋堡
2623,邓超
28072811,Dizkar (地磁卡）
2517,刀郎
12902436,豆心
2515,窦唯
188681,大鹏
2607,多亮
2522,杜德伟
1088061,DELA
896942,冬子
1087662,董昱昆
2518,东来东往
13058489,丁泽仁
2617,邓川
12787446,杜佳阳
189918,杜海涛
12629402,大星
2569,丁可
2513,冬子
1053107,DJ建斌
1038381,DJ张扬
28083561,旦增尼玛
2545,丁于
5068,单色凌
12194338,DJ阿奇
2614,大哲
2632,代理仁
927045,单海锋
13056441,邓烺怡
12894239,丁世光
12273260,董子健
1049022,烛鷷大魔王
1057162,德格叶
2578,大冰
27695243,大一学长
2527,DJ宝贝
1079143,蛋卷
2520,东山少爷
12154277,DJ
2525,戴玉强
783379,杜歌
947023,董冬冬
2531,邓健泓
12311533,邓力玮
2519,董运昌
1050280,于亮
1025229,DJ YiXiu 
30618393,迪迪
1060122,Mr-Brilliance
2528,刁寒
12040073,丁冠森
2521,邓伟标
12046643,杜天皓
1058138,大琴师音乐游戏
2562,窦智孔
1075130,CHYUCE
2548,杜聪
2591,单小源
11428,狄奥尼索斯
12202469,丁一潇
12048310,杜青
1039543,DjCore
1055010,DJ小杨
2888,狄易达
12137020,邓鼓
12810118,旦增才让
2675,杜淳
1097163,Dark Moon
13497827,滇津喇嘛
1085030,敌门
2605,丁汀
2526,窦鹏
1066056,dj皇家礼炮
1137192,DJ小鱼儿
28083320,段星宇
12047840,段宜恩
955037,丁乔
28083231,邓典
2682,丁炜
1046175,戴凤鑫
12107621,豆腐P
896569,旦旦
31153662,癫癫癫
990092,Digifan
12566301,大震
189955,蔡翊昇
1085108,哦漏
1039899,eliaqsopa
896894,贰佰
1192402,二龙湖浩哥
2714,EDIQ
12370200,Evis Wy
1043383,Elvins.J
966153,EdJean
1089203,Elfar
2727,二文
